,source,base,target,U,distance
0,LO-1,VO-1,VO-1,"[[ 0.6301147  0.7765021]
 [-0.7765021  0.6301147]]",0.7463604
1,LO-2,VO-1,VO-1,"[[-0.7985978   0.60186505]
 [-0.60186505 -0.7985978 ]]",0.693813
2,PHC-1,VO-1,VO-1_flipped,"[[ 0.5146621 -0.8573931]
 [ 0.8573931  0.5146621]]",0.5383536
3,PHC-2,VO-1,VO-1,"[[-0.86114264  0.50836337]
 [-0.50836337 -0.86114264]]",0.7658377
4,TO-1,VO-1,VO-1,"[[-0.6926422   0.72128135]
 [-0.72128135 -0.6926422 ]]",0.76694375
5,TO-2,VO-1,VO-1_flipped,"[[ 0.46029829 -0.88776432]
 [ 0.88776432  0.46029829]]",0.5878175
6,V1,VO-1,VO-1_flipped,"[[-0.60739479 -0.79440013]
 [ 0.79440013 -0.60739479]]",0.55942816
7,V2,VO-1,VO-1,"[[ 0.6663456  0.7456431]
 [-0.7456431  0.6663456]]",0.62848896
8,V3,VO-1,VO-1_flipped,"[[-0.95370169 -0.3007542 ]
 [ 0.3007542  -0.95370169]]",0.40515772
9,VO-2,VO-1,VO-1_flipped,"[[ 0.36951491 -0.9292248 ]
 [ 0.9292248   0.36951491]]",0.6567285
10,hV4,VO-1,VO-1_flipped,"[[ 0.14192883 -0.98987686]
 [ 0.98987686  0.14192883]]",0.6963842
