,source,base,target,U,distance
0,LO-1,VO-1,VO-1_flipped,"[[-0.75674374  0.65371165]
 [-0.65371165 -0.75674374]]",0.63272065
1,LO-2,VO-1,VO-1_flipped,"[[-0.59056816  0.80698776]
 [-0.80698776 -0.59056816]]",0.61906767
2,PHC-1,VO-1,VO-1_flipped,"[[-0.91434787 -0.40492959]
 [ 0.40492959 -0.91434787]]",0.57498085
3,PHC-2,VO-1,VO-1_flipped,"[[-0.133684    0.99102401]
 [-0.99102401 -0.133684  ]]",0.66127884
4,TO-1,VO-1,VO-1_flipped,"[[ 0.48895122 -0.87231113]
 [ 0.87231113  0.48895122]]",0.69186544
5,TO-2,VO-1,VO-1,"[[-0.20129421 -0.9795309 ]
 [ 0.9795309  -0.20129421]]",0.69965017
6,V1,VO-1,VO-1_flipped,"[[ 0.30903031 -0.95105219]
 [ 0.95105219  0.30903031]]",0.5706984
7,V2,VO-1,VO-1,"[[ 0.01598033 -0.99987227]
 [ 0.99987227  0.01598033]]",0.6787084
8,V3,VO-1,VO-1,"[[ 0.80378926 -0.59491426]
 [ 0.59491426  0.80378926]]",0.38702223
9,VO-2,VO-1,VO-1_flipped,"[[-0.64560556  0.76367104]
 [-0.76367104 -0.64560556]]",0.6632792
10,hV4,VO-1,VO-1,"[[ 0.60266054 -0.79799765]
 [ 0.79799765  0.60266054]]",0.6098494
