,source,base,target,U,distance
0,LO-1,VO-1,VO-1_flipped,"[[-0.99880533  0.04886629]
 [-0.04886629 -0.99880533]]",0.7201165
1,LO-2,VO-1,VO-1_flipped,"[[-0.17501116 -0.98456645]
 [ 0.98456645 -0.17501116]]",0.77069193
2,PHC-1,VO-1,VO-1,"[[ 0.88661903  0.46250033]
 [-0.46250033  0.88661903]]",0.6538592
3,PHC-2,VO-1,VO-1_flipped,"[[-0.86781213 -0.49689246]
 [ 0.49689246 -0.86781213]]",0.7388563
4,TO-1,VO-1,VO-1,"[[ 0.98823816  0.15292278]
 [-0.15292278  0.98823816]]",0.75857985
5,TO-2,VO-1,VO-1_flipped,"[[-0.51361682 -0.85801968]
 [ 0.85801968 -0.51361682]]",0.6506381
6,V1,VO-1,VO-1,"[[ 0.9739281   0.22685666]
 [-0.22685666  0.9739281 ]]",0.5439372
7,V2,VO-1,VO-1_flipped,"[[ 0.64841386  0.76128803]
 [-0.76128803  0.64841386]]",0.7292885
8,V3,VO-1,VO-1,"[[ 0.95586216 -0.29381537]
 [ 0.29381537  0.95586216]]",0.3954772
9,VO-2,VO-1,VO-1,"[[-0.9956443  -0.09323373]
 [ 0.09323373 -0.9956443 ]]",0.65986264
10,hV4,VO-1,VO-1_flipped,"[[ 0.31966516 -0.94753057]
 [ 0.94753057  0.31966516]]",0.6655366
