,source,base,target,U,distance
0,LO-1,VO-1,VO-1,"[[ 0.8579513 -0.5137311]
 [ 0.5137311  0.8579513]]",0.770304
1,LO-2,VO-1,VO-1,"[[ 0.9820348  0.1886999]
 [-0.1886999  0.9820348]]",0.7414799
2,PHC-1,VO-1,VO-1,"[[-0.7600366 -0.6498802]
 [ 0.6498802 -0.7600366]]",0.6859984
3,PHC-2,VO-1,VO-1_flipped,"[[-0.86046747  0.50950539]
 [-0.50950539 -0.86046747]]",0.70756
4,TO-1,VO-1,VO-1,"[[ 0.7859323   0.61831236]
 [-0.61831236  0.7859323 ]]",0.7774498
5,TO-2,VO-1,VO-1,"[[ 0.99998534 -0.00541276]
 [ 0.00541276  0.99998534]]",0.6561008
6,V1,VO-1,VO-1_flipped,"[[-0.7731792   0.63418761]
 [-0.63418761 -0.7731792 ]]",0.6680873
7,V2,VO-1,VO-1_flipped,"[[-0.98065403  0.19574903]
 [-0.19574903 -0.98065403]]",0.7230407
8,V3,VO-1,VO-1,"[[-0.9177959   0.39705247]
 [-0.39705247 -0.9177959 ]]",0.5364376
9,VO-2,VO-1,VO-1_flipped,"[[-0.69386522  0.7201049 ]
 [-0.7201049  -0.69386522]]",0.5593329
10,hV4,VO-1,VO-1_flipped,"[[-0.870713    0.49179149]
 [-0.49179149 -0.870713  ]]",0.6435034
